数据生成时间:2017-05-15 15:38,,,,,,,,,
数据生成条件：,,,,,,,,,
1. 时间范围：20170513至20170514,,,,,,,,,
2. 时间单位：分日,,,,,,,,,
3. 推广设备：移动设备，计算机,,,,,,,,,
4. 投放网络：全部,,,,,,,,,
5. 投放物料：全部,,,,,,,,,
,,,,,,,,,
日期,账户,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化,电话转化
2017/5/13,中鹏资讯01,44257,1271,17693.8,2.87%,13.92,0,0,0
2017/5/14,中鹏资讯01,43749,1393,19594.85,3.18%,14.07,0,0,0
